cve_id,true_label,predicted_risk,epss_score
CVE-2026-39907,0,0.823253641592097,0.00618
CVE-2026-39906,0,0.823253641592097,0.00687
CVE-2025-50567,0,0.823253641592097,0.00591
CVE-2025-48611,0,0.823253641592097,0.00193
CVE-2025-48748,0,0.823253641592097,0.00342
CVE-2026-48316,0,0.823253641592097,0.01396
CVE-2025-62168,0,0.823253641592097,0.62871
CVE-2026-40281,0,0.823253641592097,0.00611
CVE-2026-26954,0,0.823253641592097,0.00547
CVE-2025-53767,0,0.823253641592097,0.01079
CVE-2021-35402,0,0.823253641592097,0.00955
CVE-2025-49408,0,0.823253641592097,0.00456
CVE-2025-4378,0,0.823253641592097,0.00281
CVE-2026-27211,0,0.823253641592097,0.005
CVE-2026-7411,0,0.823253641592097,0.03678
CVE-2025-26970,0,0.823253641592097,0.00626
CVE-2024-56731,0,0.823253641592097,0.00952
CVE-2026-34162,0,0.823253641592097,0.00416
CVE-2025-48148,0,0.823253641592097,0.1492
CVE-2025-30580,0,0.823253641592097,0.00637
CVE-2025-6512,0,0.823253641592097,0.00465
CVE-2025-52562,0,0.823253641592097,0.01706
CVE-2026-47938,0,0.823253641592097,0.00449
CVE-2025-47637,0,0.823253641592097,0.00386
CVE-2025-47641,0,0.823253641592097,0.00359
CVE-2025-47687,0,0.823253641592097,0.00372
CVE-2025-47642,0,0.823253641592097,0.00365
CVE-2026-50242,0,0.823253641592097,0.00416
CVE-2026-49257,0,0.823253641592097,0.00498
CVE-2025-69828,0,0.823253641592097,0.00486
CVE-2024-50707,0,0.823253641592097,0.00788
CVE-2024-50704,0,0.823253641592097,0.00875
CVE-2025-9574,0,0.823253641592097,0.00745
CVE-2025-49132,0,0.823253641592097,0.13105
CVE-2025-2828,0,0.823253641592097,0.14732
CVE-2025-41240,0,0.823253641592097,0.00696
CVE-2025-59528,0,0.823253641592097,0.90183
CVE-2026-56699,0,0.823253641592097,0.00351
CVE-2026-44327,0,0.823253641592097,0.00311
CVE-2025-20337,1,0.823253641592097,0.65098
CVE-2025-32432,1,0.823253641592097,0.99829
CVE-2025-68121,0,0.823253641592097,0.00765
CVE-2025-67109,0,0.823253641592097,0.00293
CVE-2026-4725,0,0.823253641592097,0.00318
CVE-2026-25725,0,0.823253641592097,0.00416
CVE-2026-10134,0,0.823253641592097,0.00314
CVE-2025-31324,1,0.823253641592097,0.99406
CVE-2025-59818,0,0.823253641592097,0.00478
CVE-2025-62161,0,0.823253641592097,0.00236
CVE-2025-32444,0,0.823253641592097,0.01478
CVE-2026-48282,1,0.823253641592097,0.28583
CVE-2026-48283,0,0.823253641592097,0.0063
CVE-2025-53283,0,0.823253641592097,0.00415
CVE-2026-48286,0,0.823253641592097,0.00712
CVE-2025-29009,0,0.823253641592097,0.00544
CVE-2026-45631,0,0.823253641592097,0.00351
CVE-2025-49372,0,0.823253641592097,0.00436
CVE-2025-54322,0,0.823253641592097,0.13992
CVE-2025-54914,0,0.823253641592097,0.02241
CVE-2026-48281,0,0.823253641592097,0.00855
CVE-2026-34938,0,0.823253641592097,0.00707
CVE-2025-46348,0,0.823253641592097,0.00569
CVE-2025-61956,0,0.823253641592097,0.0071
CVE-2026-13782,0,0.823253641592097,0.00293
CVE-2026-20131,1,0.823253641592097,0.27551
CVE-2025-67108,0,0.823253641592097,0.00261
CVE-2026-24898,0,0.823253641592097,0.00555
CVE-2026-45131,0,0.823253641592097,0.00275
CVE-2026-45132,0,0.823253641592097,0.0026
CVE-2025-9846,0,0.823253641592097,0.01041
CVE-2025-9588,0,0.823253641592097,0.01125
CVE-2025-63689,0,0.823253641592097,0.00839
CVE-2026-44329,0,0.823253641592097,0.00331
CVE-2026-44330,0,0.823253641592097,0.00287
CVE-2025-67288,0,0.823253641592097,0.00502
CVE-2026-15409,0,0.823253641592097,0.01266
CVE-2025-24865,0,0.823253641592097,0.06987
CVE-2025-34028,1,0.823253641592097,0.97292
CVE-2025-6327,0,0.823253641592097,0.00456
CVE-2025-46337,0,0.823253641592097,0.00664
CVE-2026-40965,0,0.823253641592097,0.00346
CVE-2026-45087,0,0.823253641592097,0.01051
CVE-2025-54122,0,0.823253641592097,0.00847
CVE-2026-32186,0,0.823253641592097,0.00705
CVE-2025-10230,0,0.823253641592097,0.40121
CVE-2026-48276,0,0.823253641592097,0.00917
CVE-2026-48277,0,0.823253641592097,0.00855
CVE-2026-20079,0,0.823253641592097,0.387
CVE-2024-57521,0,0.823253641592097,0.00587
CVE-2026-43898,0,0.823253641592097,0.00472
CVE-2025-46661,0,0.823253641592097,0.00647
CVE-2025-61945,0,0.823253641592097,0.00751
CVE-2026-25641,0,0.823253641592097,0.00489
CVE-2025-4285,0,0.823253641592097,0.00331
CVE-2025-60235,0,0.823253641592097,0.00415
CVE-2026-4689,0,0.823253641592097,0.00665
CVE-2026-4688,0,0.823253641592097,0.00531
CVE-2025-60207,0,0.823253641592097,0.00415
CVE-2026-25632,0,0.823253641592097,0.00657
CVE-2025-24522,0,0.823253641592097,0.00713
CVE-2026-40911,0,0.823253641592097,0.00645
CVE-2026-10611,0,0.823253641592097,0.00353
CVE-2024-56829,0,0.823253641592097,0.00556
CVE-2025-64180,0,0.823253641592097,0.00315
CVE-2026-28289,0,0.823253641592097,0.3114
CVE-2026-7312,0,0.823253641592097,0.00441
CVE-2025-54863,0,0.823253641592097,0.00606
CVE-2026-33107,0,0.823253641592097,0.00705
CVE-2026-1633,0,0.823253641592097,0.0055
CVE-2025-62596,0,0.823253641592097,0.00243
CVE-2025-55108,0,0.823253641592097,0.00786
CVE-2026-41679,0,0.823253641592097,0.01972
CVE-2026-4692,0,0.823253641592097,0.00487
CVE-2026-33105,0,0.823253641592097,0.0072
CVE-2026-21636,0,0.823253641592097,0.00663
CVE-2026-46840,0,0.823253641592097,0.00725
CVE-2024-13152,0,0.823253641592097,0.00486
CVE-2025-55241,0,0.823253641592097,0.01549
CVE-2026-21962,0,0.823253641592097,0.42658
CVE-2026-41211,0,0.823253641592097,0.00311
CVE-2026-32213,0,0.823253641592097,0.00913
CVE-2026-41196,0,0.823253641592097,0.00374
CVE-2026-49260,0,0.8163525844641146,0.00154
